Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g)
"Huile pour friture, sans précision",865.8,0.0,0.0,0.0,96.2
Huile végétale (aliment moyen),899.1,0.0,0.0,0.0,99.9
"Huître creuse, crue",67.19,8.64,83.3,3.86,1.91
"Huître plate, crue",53.54,10.2,85.7,1.16,0.9
"Huître, sans précision, crue",67.19,8.64,83.3,3.86,1.91
"Igname, épluchée, bouillie/cuite à l'eau",101.62,1.49,70.1,23.6,0.14
"Igname, épluchée, crue",102.85,1.53,69.6,23.8,0.17
"Ile flottante, rayon frais",133.31,4.98,70.1,20.9,3.31
Jambon à l'os braisé,238.8,21.6,58.4,0.3,16.8
Jambon cru,225.44,25.9,50.1,0.76,13.2
"Jambon cru, fumé",245.62,24.2,55.8,0.98,16.1
"Jambon cru, fumé, allégé en matière grasse",141.8,27.7,63.9,0.1,3.4
"Jambon cuit, choix",125.3,19.5,72.3,1.7,4.5
"Jambon cuit, choix, avec couenne",136.5,19.4,71.5,0.55,6.3
"Jambon cuit, choix, découenné dégraissé",114.0,19.6,72.1,1.61,3.24
"Jambon cuit, de Paris, découenné dégraissé",119.1,21.0,0.0,1.08,3.42
"Jambon cuit, fumé",135.36,20.0,73.2,0.79,5.8
"Jambon cuit, supérieur",124.96,20.8,73.3,0.81,4.28
"Jambon cuit, supérieur, à teneur réduite en sel",120.63,20.8,0.0,0.74,3.83
"Jambon cuit, supérieur, avec couenne",137.22,20.3,72.2,0.91,5.82
"Jambon cuit, supérieur, découenné",116.76,20.5,73.0,0.77,3.52
"Jambon cuit, supérieur, découenné dégraissé",118.26,20.3,72.8,1.03,3.66
Jambon de Bayonne,227.92,28.0,48.6,0.63,12.6
Jambon de dinde ou Blanc de dinde en tranche,103.79,20.9,74.0,1.29,1.67
Jambon de porc à cuire ou Jambon à rôtir/cuire au four,161.32,19.9,70.1,0.0,9.08
Jambon de poulet ou Blanc de poulet en tranche,104.47,20.7,74.3,1.39,1.79
Jambon en croûte,219.08,14.4,52.3,19.4,9.32
Jambon persillé en gelée,149.02,19.0,69.6,0.48,7.9
Jambon sec,230.12,28.7,53.2,0.48,12.6
Jambon sec de Parme,248.6,27.2,52.2,0.3,15.4
Jambon sec Serrano,235.34,30.4,54.1,0.76,12.3
"Jambon sec, découenné, dégraissé",191.9,26.3,56.2,0.3,9.5
"Jambonneau, cuit",155.28,21.5,65.5,0.4,7.52
"Joëls (petits poissons entiers) pour friture, crus",88.9,17.5,0.0,0.0,2.1
"Julienne ou brunoise de légumes, surgelée, crue",23.33,1.19,0.0,4.08,0.25
"Julienne ou Lingue, crue",81.16,19.3,79.3,0.0,0.44
"Julienne ou Lingue, cuite",105.38,24.5,73.9,0.0,0.82
Jus d'ananas pour ananas appertisé au jus,54.8,0.0,85.5,13.7,0.0
"Jus d'ananas, à base de concentré",47.3,0.41,87.1,11.2,0.096
"Jus d'ananas, pur jus",50.31,0.41,86.3,12.0,0.074
"Jus de carotte, pur jus",28.7,0.4,88.9,6.55,0.1
"Jus de citron vert, maison",9.07,0.42,90.8,1.69,0.07
"Jus de citron vert, pur jus",8.47,0.25,92.5,1.35,0.23
"Jus de citron, maison",13.88,0.45,91.5,2.48,0.24
"Jus de citron, pur jus",28.61,0.4,92.5,6.1,0.29
"Jus de clémentine ou mandarine, pur jus",46.3,0.66,88.0,10.6,0.14
"Jus de fruit de la passion ou maracudja, frais",61.5,0.67,84.2,14.3,0.18
Jus de fruits (aliment moyen),40.14,0.53,88.5,9.19,0.14
"Jus de fruits, à base de concentré (aliment moyen)",40.93,0.54,88.7,9.4,0.13
"Jus de fruits, pur jus (aliment moyen)",39.86,0.52,88.4,9.13,0.14
"Jus de grenade, frais",47.2,0.2,85.4,11.6,0.0
"Jus de grenade, pur jus",55.21,0.15,86.0,13.0,0.29
"Jus de légumes, pur jus (aliment moyen)",21.37,0.72,92.4,4.33,0.13
"Jus de mangue, frais",38.76,0.19,86.0,9.5,0.0
"Jus de pamplemousse (pomélo), à base de concentré",33.66,0.52,89.9,7.67,0.1
"Jus de pamplemousse (pomélo), maison",33.86,0.44,90.0,7.8,0.1
"Jus de pamplemousse (pomelo), pur jus",34.03,0.49,89.9,7.83,0.083
"Jus de pomme, à base de concentré",42.24,0.24,88.5,10.1,0.098
"Jus de pomme, pur jus",41.1,0.17,88.4,9.79,0.14
Jus de pruneau,76.63,0.37,81.2,18.7,0.039
"Jus de raisin, à base de concentré",59.03,0.31,84.2,14.2,0.11
"Jus de raisin, pur jus",66.71,0.25,82.4,16.3,0.057
"Jus de tomate, pur jus (aliment moyen)",17.66,0.88,94.1,3.22,0.14
"Jus de tomate, pur jus, salé à 3 g/L",18.57,0.88,94.3,3.38,0.17
"Jus de tomate, pur jus, salé à 6g/L",16.79,0.88,93.9,3.07,0.11
"Jus d'orange, à base de concentré",35.01,0.63,89.7,7.83,0.13
"Jus d'orange, maison",42.2,0.66,88.3,9.44,0.2
"Jus d'orange, pur jus",41.75,0.61,88.2,9.58,0.11
"Jus multifruit - base orange, multivitaminé",46.8,0.0,87.6,11.7,0.0
"Jus multifruit, à base de concentré, standard",48.23,0.52,87.8,11.2,0.15
"Jus multifruit, pur jus, multivitaminé",48.02,0.48,86.5,11.3,0.1
"Jus multifruit, pur jus, standard",48.38,0.47,87.0,11.4,0.1
"Kaki, pulpe, cru",59.96,0.69,81.0,14.3,0.0
Kéfir,63.16,3.19,87.6,4.5,3.6
Ketchup,92.39,1.27,71.1,21.4,0.19
"Khatfa feuille de brick, préemballée",277.5,7.0,0.0,59.0,1.5
Kir (au vin blanc),38.56,0.18,79.9,9.46,0.0
Kir royal (au champagne),40.52,0.25,79.7,9.88,0.0
"Kiwi, pulpe et graines, cru",47.11,1.2,83.6,8.44,0.95
"Kombu breton (Laminaria digitata), séchée ou déshydratée",150.61,9.51,5.31,25.6,1.13
"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",154.17,8.38,9.5,24.2,2.65
"Kombu royal (Saccharina latissima), séchée ou déshydratée",145.23,10.3,8.63,23.6,1.07
Kouign Amann,500.7,5.05,0.0,55.1,28.9
"Kumquat, sans pépin, cru",55.3,1.57,81.9,9.6,1.18
"Lait 1er âge, poudre soluble (préparation pour nourrissons)",491.3,10.9,1.17,55.0,25.3
"Lait 1er âge, prêt à consommer (préparation pour nourrissons)",72.02,1.44,86.2,8.6,3.54
"Lait 2e âge, poudre soluble (préparation de suite)",480.4,11.6,0.0,56.3,23.2
"Lait 2e âge, prêt à consommer (préparation pour nourrissons)",68.11,1.66,86.2,8.1,3.23
"Lait concentré non sucré, entier",133.3,7.07,74.8,9.29,7.54
"Lait concentré sucré, entier",324.03,7.7,27.2,55.6,7.87
"Lait de brebis, entier",103.45,5.68,82.2,4.5,6.97
"Lait de chèvre, demi-écrémé, UHT",45.73,3.77,89.6,4.13,1.57
"Lait de chèvre, entier, cru",57.72,3.22,88.7,4.01,3.2
"Lait de chèvre, entier, UHT",56.19,3.33,87.0,4.35,2.83
Lait de coco ou Crème de coco,186.28,1.77,75.1,3.4,18.4
"Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)",63.71,1.9,87.4,7.93,2.71
"Lait de jument, entier",49.77,2.37,89.2,6.18,1.73
"Lait de poule, sans alcool",97.67,4.19,80.2,10.8,4.19
"Lait demi-écrémé, à teneur réduite en lactose",46.23,3.27,0.0,4.8,1.55
"Lait demi-écrémé, pasteurisé",46.44,3.54,89.3,4.47,1.6
"Lait demi-écrémé, UHT",46.13,3.29,89.7,4.8,1.53
"Lait demi-écrémé, UHT, enrichi en vitamines",45.93,3.24,0.0,4.8,1.53
"Lait écrémé, pasteurisé",34.79,3.28,90.8,4.99,0.19
"Lait écrémé, UHT",34.19,3.31,90.9,4.99,0.11
"Lait emprésuré aromatisé, rayon frais",121.42,5.63,72.1,19.1,2.5
"Lait en poudre, demi-écrémé",447.1,31.9,3.29,45.9,15.1
"Lait en poudre, écrémé",363.5,35.3,1.95,54.0,0.7
"Lait en poudre, entier",500.0,27.2,2.4,37.5,26.8
"Lait entier, pasteurisé",56.78,3.3,89.1,3.47,3.3
"Lait entier, UHT",65.35,3.32,87.5,4.85,3.63
"Lait fermenté à boire, nature, au lait entier",63.0,3.15,87.6,4.5,3.6
"Lait fermenté à boire, nature, maigre",38.62,3.93,86.1,5.05,0.3
"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus",90.26,3.45,78.7,12.5,2.94
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus",93.37,3.57,78.0,13.0,3.01
"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",61.64,3.84,87.2,3.47,3.6
"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",73.6,4.17,0.0,11.8,1.08
"Lait gélifié aromatisé, nappé caramel, rayon frais",111.1,2.46,75.2,18.7,2.94
"Lait gélifié aromatisé, rayon frais",144.53,3.39,66.9,24.8,3.53
"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",46.53,3.28,89.6,4.82,1.57
"Laitue de mer (Ulva sp.), séchée ou déshydratée",137.07,15.9,10.9,13.8,2.03
"Laitue iceberg, crue",15.46,1.01,95.6,2.45,0.18
"Laitue romaine, crue",13.06,1.24,94.6,1.35,0.3
"Laitue, crue",12.32,1.3,95.3,1.33,0.2
"Langouste, bouillie/cuite à l'eau",106.08,21.8,0.0,1.3,1.52
"Langouste, crue",89.14,18.2,78.6,1.07,1.34
"Langoustine, crue",91.63,19.6,76.5,1.53,0.79
"Langoustine, panée, frite",288.4,12.5,39.5,29.0,13.6
Langres,283.0,17.2,56.2,0.0,23.8
Langue de bœuf sauce madère,177.5,9.5,0.0,4.5,13.5
"Langue, boeuf, crue",194.68,16.8,67.7,0.82,13.8
"Langue, boeuf, cuite",236.08,23.7,59.6,0.22,15.6
"Langue, porc, crue",189.44,16.6,68.8,0.16,13.6
"Langue, veau, crue",153.04,17.0,71.9,1.37,8.84
"Langue, veau, cuite",239.2,21.0,60.5,0.55,17.0
Lapin à la moutarde,106.6,14.9,0.0,0.5,5.0
"Lapin de garenne, viande, crue",108.08,21.8,74.5,0.0,2.32
"Lapin de garenne, viande, cuite",163.59,33.0,61.4,0.0,3.51
"Lapin, viande braisée",197.29,30.4,59.8,0.0,8.41
"Lapin, viande crue",188.64,20.4,68.1,0.66,11.6
"Lapin, viande cuite",166.8,20.5,68.2,0.5,9.2
"Lard gras, cru",809.98,2.92,7.69,0.0,88.7
"Lardon fumé, cru",271.6,16.7,55.7,0.35,22.6
"Lardon fumé, cuit",276.9,14.7,54.6,4.8,22.1
"Lardon nature, cru",269.34,16.6,56.9,1.01,22.1
"Lardon nature, cuit",323.7,23.8,48.2,2.0,24.5
"Lasagnes ou canelloni aux légumes et au fromage de chèvre, cuits",175.8,7.0,65.6,14.0,10.2
Lasagnes ou cannelloni à la viande (bolognaise),114.56,6.29,75.2,9.48,5.72
Lasagnes ou cannelloni au fromage et aux épinards,147.0,6.1,68.1,15.8,6.6
Lasagnes ou cannelloni au poisson,138.62,7.28,71.2,11.4,7.1
Lasagnes ou cannelloni aux légumes,113.85,2.75,74.0,14.8,4.85
"Lasagnes ou cannelloni aux légumes, cuits",117.82,4.38,74.5,11.8,5.9
"Laurier, feuille",300.08,7.61,5.44,48.6,8.36
"Lavaret, cru",113.12,19.1,75.0,0.0,4.08
Lécithine de soja,779.0,0.0,1.0,8.0,83.0
Légume cuit (aliment moyen),24.07,1.63,90.8,3.78,0.27
"Légume sec, cuit (aliment moyen)",84.28,8.02,69.1,11.7,0.6
"Légumes (3-4 sortes en mélange), purée",49.32,2.19,86.2,4.02,2.72
Légumes farcis (sauf tomate),80.76,4.71,80.8,3.6,5.28
"Légumes pour couscous, cuits",20.19,1.53,91.7,2.55,0.43
"Légumes pour couscous, surgelés, crus",41.02,1.93,0.0,6.75,0.7
"Légumes pour potages, surgelés, crus",28.48,1.44,89.2,4.69,0.44
"Légumes pour ratatouille, surgelés",17.76,1.01,94.2,3.23,0.089
"Légumes, mélange surgelé, crus",55.73,2.26,85.2,5.71,2.65
"Lentille blonde, cuite",110.3,9.7,66.4,16.3,0.7
"Lentille blonde, sèche",310.3,25.0,8.8,48.3,1.9
"Lentille corail, cuite",106.9,10.6,65.1,15.0,0.5
"Lentille corail, sèche",282.4,23.9,8.8,44.9,0.8
"Lentille verte, cuite",106.42,10.1,64.8,15.2,0.58
"Lentille verte, sèche",297.4,25.8,9.5,44.5,1.8
"Lentille, cuisinée, appertisée, égouttée",77.6,6.16,73.5,11.8,0.64
"Lentille, cuite",86.62,8.6,69.6,12.2,0.38
"Lentille, germée",116.66,8.86,67.3,19.0,0.58
"Lentille, sèche",316.06,25.4,8.96,50.6,1.34
Levure alimentaire,289.3,40.4,5.0,21.8,4.5
Levure chimique ou Poudre à lever,142.44,1.96,8.6,33.2,0.2
"Levure de boulanger, compressée",97.62,8.23,69.0,11.9,1.9
"Levure de boulanger, déshydratée",306.93,44.5,2.94,17.9,6.37
"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté",173.1,16.6,10.7,21.5,2.3
Liégeois aux fruits,142.9,1.5,72.3,16.0,8.1
"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",150.5,3.02,68.5,21.6,5.78
"Lieu jaune ou colin, cru",76.99,18.1,80.8,0.0,0.51
"Lieu noir, cru",84.8,19.4,79.4,0.0,0.8
"Lieu noir, cuit",99.69,23.1,75.5,0.0,0.81
"Lieu noir, surgelé, cru",82.53,19.8,78.3,0.0,0.37
"Lieu ou colin d'Alaska, cru",70.69,16.3,81.2,0.0,0.61
"Lieu ou colin d'Alaska, fumé",81.3,18.3,0.0,0.0,0.9
"Lièvre, viande crue",110.43,21.6,73.3,0.0,2.67
"Limande, crue",80.85,18.3,79.7,0.0,0.85
"Limande-sole, crue",80.6,17.0,80.0,0.0,1.4
"Limande-sole, cuite à la vapeur",90.03,17.4,76.9,0.0,2.27
"Limande-sole, panée, frite",206.2,16.7,60.5,11.9,10.2
"Limonade, non sucrée, avec édulcorants",0.67,0.067,99.0,0.1,0.0
"Limonade, sucrée",34.14,0.04,90.5,8.45,0.02
"Limonade, sucrée, avec édulcorants",12.0,0.0,0.0,3.0,0.0
"Lin, brun, graine",466.04,18.0,5.8,3.56,42.2
"Lin, graine",436.6,20.2,5.93,6.6,36.6
"Lingue bleue ou Lingue, crue",79.56,18.9,79.6,0.0,0.44
Liqueur,161.5,0.1,35.6,39.6,0.3
"Litchi, pulpe, cru",67.62,0.76,81.8,15.2,0.42
Livarot,295.4,23.0,48.9,0.0,22.6
"Lompe, crue",167.8,10.0,74.6,0.0,14.2
"Lotte de rivière, crue",77.14,17.8,80.6,0.0,0.66
"Lotte ou baudroie, crue",65.86,14.8,82.6,0.0,0.74
"Lotte ou baudroie, grillée/poêlée",98.12,23.0,75.0,0.0,0.68
"Loup tacheté, cru",108.4,16.3,78.2,0.0,4.8
"Lupin, graine crue",318.46,36.2,10.4,21.5,9.74
"Luzerne, graine",389.4,29.7,7.4,39.3,12.6
"Luzerne, graine germée",23.06,3.28,92.8,0.91,0.7
Macaron moelleux fourré à la confiture ou à la crème,446.28,8.97,10.8,54.9,21.2
Macaron sec,430.2,6.9,0.0,77.7,10.2
"Macédoine de légumes, appertisée, égouttée",34.4,2.38,86.7,5.59,0.28
"Macédoine de légumes, surgelée",43.64,3.48,86.4,6.8,0.28
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",57.6,0.0,83.5,14.4,0.0
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",59.35,0.2,84.0,14.5,0.061
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",69.6,0.0,80.4,17.4,0.0
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",74.4,0.3,79.9,18.3,0.0
"Mâche, crue",15.2,2.3,93.7,0.6,0.4
"Madeleine chocolatée, préemballée",454.34,6.06,14.5,51.5,24.9
"Madeleine ordinaire, préemballée",463.56,5.69,13.6,53.5,25.2
"Madeleine traditionnelle, pur beurre",463.86,5.99,14.5,52.6,25.5
"Maïs doux, appertisé, égoutté",99.64,2.73,75.4,18.4,1.68
"Maïs doux, en épis, cuit",73.74,3.36,73.4,11.7,1.5
"Maïs doux, en épis, surgelé, cru",92.15,3.36,73.3,17.0,1.19
"Maïs doux, surgelé, cru",99.26,3.26,71.8,19.8,0.78
"Maïs entier, cru",334.5,8.1,13.6,67.2,3.7
"Mandarine, pulpe, crue",44.47,0.72,86.3,9.7,0.31
"Mangue, pulpe, crue",60.07,0.62,83.0,13.7,0.31
"Manioc, racine crue",153.05,1.31,59.7,36.3,0.29
"Manioc, racine cuite",131.15,0.69,65.2,32.0,0.043
"Maquereau espagnol ou maquereau blanc ou billard, cru",123.55,19.3,71.8,0.0,5.15
"Maquereau, au naturel, appertisé, égoutté",182.2,19.9,65.7,0.0,11.4
"Maquereau, cru",193.9,18.1,66.4,0.0,13.5
"Maquereau, filet au vin blanc, appertisé, égoutté",210.3,18.6,64.4,2.25,14.1
"Maquereau, filet sauce moutarde, appertisé, égoutté",215.36,20.8,61.7,1.09,14.2
"Maquereau, filet sauce tomate, appertisé, égoutté",225.26,17.7,61.9,1.94,16.3
"Maquereau, frit",186.2,23.6,64.6,0.0,10.2
"Maquereau, fumé",299.5,20.2,55.7,0.0,24.3
"Maquereau, mariné",184.9,16.3,66.6,0.0,13.3
"Maquereau, rôti/cuit au four",228.2,21.5,61.5,0.0,15.8
"Marjolaine, séchée",195.36,12.7,7.64,20.3,7.04
Marmelade d'orange,246.16,0.16,38.9,61.2,0.08
Maroilles fermier,350.3,21.2,45.6,0.0,29.5
Maroilles laitier,339.4,22.3,45.9,0.0,27.8
"Maroilles, sans précision",326.8,22.3,48.3,0.0,26.4
Marron glacé,321.76,0.94,18.2,79.5,0.0
Marsala,112.0,0.1,57.7,27.9,0.0
Marsala aux oeufs,49.6,0.0,0.0,12.4,0.0
Mascarpone,384.52,4.38,51.5,4.0,39.0
"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux",215.34,0.36,72.1,6.0,21.1
"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux",247.2,0.4,68.8,3.8,25.6
Matière grasse mélangée (végétale et laitière) à 50-63% MG,490.0,0.4,44.5,0.6,54.0
"Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel",481.0,0.4,0.0,0.6,53.0
"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG",397.26,1.69,54.0,5.6,40.9
"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel",370.4,1.5,0.0,5.6,38.0
Matière grasse ou graisse végétale solide (type margarine) pour friture,900.0,0.0,0.0,0.0,100.0
"Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal",325.4,0.1,0.0,2.5,35.0
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 4",491.31,0.083,44.2,0.12,54.5
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux",517.67,0.097,43.2,0.17,57.4
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal",558.8,0.1,0.0,0.1,62.0
"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 4",521.52,0.15,40.4,0.18,57.8
"Matière grasse végétale (type margarine) à 70% MG, doux",631.48,0.13,26.5,0.24,70.0
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel",357.8,0.9,51.6,3.05,38.0
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux",346.0,0.5,60.0,0.5,38.0
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, aux esters de stérol végétal",332.26,0.09,52.6,4.0,35.1
"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 4",349.2,0.0,58.2,0.0,38.8
"Matière grasse végétale (type margarine), teneur en matière grasse inconue, doux (aliment moyen)",590.86,0.12,32.3,0.22,65.5
"Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen)",512.36,0.11,43.7,0.18,56.8
"Matière grasse végétale ou margarine, 80% MG, doux",725.84,0.26,16.3,0.3,80.4
Mayonnaise (70% MG min.),692.72,1.36,18.1,2.62,75.2
Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,308.74,0.93,60.1,8.98,29.9
Mélange apéritif de graines (non salées) et fruits séchés,365.06,8.29,34.0,23.8,26.3
Mélange apéritif de graines (non salées) et raisins secs,517.9,13.8,7.94,30.4,37.9
Mélange apéritif de graines salées et raisins secs,529.2,16.1,5.3,27.1,39.6
"Mélange de céréales et légumineuses, cru",326.8,13.7,0.0,59.0,4.0
Mélasse de canne,299.7,0.0,0.0,74.7,0.1
"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",31.0,0.73,90.9,6.57,0.2
"Melon miel ou melon honeydew, pulpe, cru",21.05,0.58,91.9,4.3,0.17
"Meloukhia, feuilles de corète séchées, en poudre",159.0,23.0,8.4,12.7,1.8
"Meloukhia, plat à base de boeuf et corete",177.42,10.6,67.7,0.68,14.7
"Meloukhia, sauce, artisanale",194.32,1.13,67.7,0.2,21.0
"Menthe, fraîche",42.92,3.54,82.8,5.3,0.84
"Menthe, séchée",222.67,19.9,11.3,22.2,6.03
"Merguez, boeuf et mouton, crue",315.6,14.0,0.0,2.8,27.6
"Merguez, boeuf et mouton, cuite",282.6,19.8,54.8,1.8,21.8
"Merguez, bœuf, mouton et porc, crue",358.1,14.6,51.7,0.0,33.3
"Merguez, crue",316.0,13.5,56.2,2.5,28.0
"Merguez, porc et bœuf, crue",415.0,11.5,42.5,0.0,41.0
"Merguez, pur bœuf, crue",435.5,11.0,39.8,0.0,43.5
Meringue,393.12,4.08,0.9,94.2,0.0
"Merlan, cru",79.83,18.9,79.3,0.0,0.47
"Merlan, cuit à la vapeur",98.3,23.0,75.2,0.0,0.7
"Merlan, frit",124.89,23.1,71.4,0.0,3.61
"Merlan, pané",188.53,12.6,62.6,13.0,9.57
"Merlu blanc du Cap, surgelé, cru",78.08,16.1,0.0,0.0,1.52
"Merlu, cru",81.75,17.4,80.0,0.0,1.35
"Merlu, cuit à l'étouffée",111.8,21.2,74.4,0.0,3.0
"Merlu, filet, surgelé, cru",82.0,15.1,80.1,0.0,2.4
"Mérou, cru",85.34,19.4,78.6,0.0,0.86
"Mesclun ou salade, mélange de jeunes pousses",18.0,2.0,0.0,2.5,0.0
Miel,327.28,0.52,18.0,81.3,0.0
"Miettes de thon à la tomate, appertisées",129.09,14.6,0.0,4.33,5.93
"Miettes de thon à l'huile, appertisées",209.7,24.3,0.0,0.0,12.5
"Mil entier, cru",339.09,11.0,8.69,64.3,4.21
"Mil, cuit, non salé",112.64,3.51,71.4,22.4,1.0
"Milk-shake, provenant de fast food",129.9,3.39,71.9,18.6,4.66
Mille-feuille,292.02,3.88,40.1,43.7,11.3
Mimolette demi-vieille,368.1,31.5,34.3,0.0,26.9
Mimolette extra-vieille,389.4,33.9,31.0,0.0,28.2
Mimolette jeune,333.4,28.9,40.1,0.0,24.2
Mimolette vieille,392.0,33.2,30.0,0.0,28.8
"Mimolette, sans précision",310.2,24.9,45.5,0.0,23.4
Miso,162.99,10.7,48.0,18.1,5.31
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse),304.2,18.9,52.9,0.0,25.4
Morbier,355.5,22.5,43.6,0.0,29.5
Mortadelle,301.38,15.0,55.1,0.27,26.7
Mortadelle pistachée pur porc,316.04,14.4,53.2,1.16,28.2
"Mortadelle, porc et boeuf",304.32,16.4,52.3,2.53,25.4
"Mortadelle, pur porc",309.24,14.8,52.3,4.46,25.8
"Morue, salée, bouillie/cuite à l'eau",113.09,26.0,67.4,0.0,1.01
"Morue, salée, sèche",191.83,44.2,35.2,0.0,1.67
"Moule commune, crue",74.74,11.9,82.7,2.69,1.82
"Moule de Méditerranée, crue",68.91,10.7,83.7,2.77,1.67
"Moule, appertisée, égouttée",101.92,14.6,75.1,5.93,2.2
"Moule, bouillie/cuite à l'eau",108.09,17.2,74.1,5.12,2.09
"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",141.1,12.5,0.0,5.0,7.9
"Moules farcies (matière grasse, persillade…), crues",279.16,9.56,57.5,4.43,24.8
Moules marinières (oignons et vin blanc),96.8,10.3,76.5,8.86,2.24
Moussaka,141.12,5.82,76.0,5.16,10.8
"Mousse à la crème de marrons, rayon frais",226.0,2.74,53.0,35.4,8.16
"Mousse au chocolat (base laitière), rayon frais",176.92,4.85,61.2,24.8,6.48
"Mousse au chocolat traditionnelle, rayon frais",295.88,6.52,0.0,25.6,18.6
"Mousse aux fruits, rayon frais",148.23,6.48,0.0,15.3,6.79
Mousse de canard,393.58,10.1,44.4,7.07,36.1
Mousse de foie de porc,285.66,12.0,56.5,3.39,24.9
Mousse de foie de porc supérieure ou Crème de foie,320.5,11.1,49.8,10.3,26.1
"Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais",185.38,3.62,0.0,20.0,10.1
Moutarde,145.8,6.92,67.9,4.33,11.2
Moutarde à l'ancienne,124.58,6.67,67.8,2.2,9.9
"Mouton, épaule, crue",204.1,18.3,62.7,0.1,14.5
"Mouton, gigot, cru",233.0,20.0,64.0,0.0,17.0
"Mouton, pied, cru",203.8,18.1,0.0,0.0,14.6
"Mouton, tête, crue",203.8,18.1,0.0,0.0,14.6
"Mouton, viande, crue",137.39,20.6,74.2,0.0,6.11
Mozzarella au lait de vache,249.82,16.8,62.0,1.33,19.7
Muesli (aliment moyen),411.9,7.4,4.34,67.9,12.3
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),437.34,8.56,2.4,63.2,16.7
"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",449.5,7.8,2.85,63.4,18.3
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",424.54,8.86,4.3,59.7,16.7
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",451.98,5.67,3.05,68.4,17.3
Muesli enrichi en vitamines et minéraux (aliment moyen),420.38,6.82,4.23,68.8,13.1
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),356.21,9.4,0.0,65.5,6.29
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",359.4,9.0,6.46,69.6,5.0
"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",388.2,10.7,9.21,61.6,11.0
Muesli floconneux ou de type traditionnel,359.87,10.6,0.0,68.5,4.83
Muesli non enrichi en vitamines et minéraux (aliment moyen),389.1,9.15,0.0,62.7,11.3
"Muffin anglais, complet, petit pain spécial, préemballé",198.43,12.5,45.6,32.9,1.87
"Muffin anglais, petit pain spécial, préemballé",217.72,10.6,38.4,39.6,1.88
"Muffin, aux myrtilles ou au chocolat",428.56,5.59,18.3,48.9,23.4
"Mulet, cru",112.98,20.1,75.5,0.0,3.62
"Mulet, rôti/cuit au four",142.94,24.8,70.5,0.0,4.86
"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",379.42,7.73,3.0,77.9,4.1
Munster,343.8,20.7,49.4,0.0,29.0
"Mûre (de ronce), crue",28.83,1.32,87.7,4.2,0.75
"Mûre (de ronce), surgelée, crue",51.46,1.22,82.2,10.7,0.42
"Mûre noire (du mûrier), crue",41.67,1.44,87.7,8.1,0.39
Museau de boeuf,151.33,26.2,66.1,0.0,5.17
